
2024/11/12 (08:30:13) | ===> btop++ v.1.4.0
2024/11/12 (08:30:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (13:37:38) | ===> btop++ v.1.4.0
2024/11/12 (13:37:38) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/12 (13:47:14) | INFO: Logger set to INFO
2024/11/12 (13:47:14) | INFO: Logger set to DEBUG
2024/11/12 (13:47:17) | INFO: Logger set to INFO
2024/11/12 (13:47:18) | INFO: Logger set to INFO
2024/11/12 (13:47:18) | INFO: Logger set to DEBUG
2024/11/12 (14:07:46) | DEBUG: Writing new config file
2024/11/12 (14:07:46) | INFO: Quitting! Runtime: 00:30:08

2024/12/12 (15:21:56) | ===> btop++ v.1.4.0
2024/12/12 (15:21:56) | INFO: Logger set to DEBUG
2024/12/12 (15:21:56) | DEBUG: Using locale en_US.UTF-8
2024/12/12 (15:21:56) | INFO: Running on /dev/pts/0
2024/12/12 (15:21:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/12 (15:21:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/12 (15:21:56) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/12 (15:21:56) | DEBUG: Shared::init() : Initialized.
2024/12/12 (15:21:56) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/12/12 (15:24:45) | INFO: Quitting! Runtime: 00:02:49

2024/12/13 (12:42:01) | ===> btop++ v.1.4.0
2024/12/13 (12:42:01) | INFO: Logger set to DEBUG
2024/12/13 (12:42:01) | DEBUG: Using locale en_US.UTF-8
2024/12/13 (12:42:01) | INFO: Running on /dev/pts/1
2024/12/13 (12:42:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (12:42:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (12:42:01) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/13 (12:42:01) | DEBUG: Shared::init() : Initialized.
2024/12/13 (12:42:01) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/12/13 (12:49:17) | INFO: Quitting! Runtime: 00:07:16
